,ID,UMIN_ID,Japic_ID,JMA_ID,jRCT_ID
20225,UMIN000032268,UMIN000032268,,,
20233,UMIN000032257,UMIN000032257,,,
20254,UMIN000032238,UMIN000032238,,,
20277,UMIN000032188,UMIN000032188,,,
20294,UMIN000028500,UMIN000028500,,,
20338,UMIN000032050,UMIN000032050,,,
20348,UMIN000032109,UMIN000032109,,,
20365,UMIN000032108,UMIN000032108,,,
20382,UMIN000032076,UMIN000032076,,,
20390,UMIN000032075,UMIN000032075,,,
20435,UMIN000029235,UMIN000029235,,,
20456,UMIN000032043,UMIN000032043,,,
20469,UMIN000031135,UMIN000031135,,,
20479,UMIN000031243,UMIN000031243,,,
20482,UMIN000031863,UMIN000031863,,,
20508,UMIN000031787,UMIN000031787,,,
20517,UMIN000030634,UMIN000030634,,,
20536,UMIN000031910,UMIN000031910,,,
20546,UMIN000030400,UMIN000030400,,,
20557,UMIN000032000,UMIN000032000,,,
20566,UMIN000031839,UMIN000031839,,,
20594,UMIN000031624,UMIN000031624,,,
20607,UMIN000023875,UMIN000023875,,,
20621,UMIN000032030,UMIN000032030,,,
20641,UMIN000032027,UMIN000032027,,,
20642,UMIN000030506,UMIN000030506,,,
20647,UMIN000031965,UMIN000031965,,,
20649,UMIN000032005,UMIN000032005,,,
20677,UMIN000031972,UMIN000031972,,,
20705,UMIN000031927,UMIN000031927,,,
20707,UMIN000031551,UMIN000031551,,,
20747,UMIN000031876,UMIN000031876,,,
20798,UMIN000031790,UMIN000031790,,,
20799,UMIN000031822,UMIN000031822,,,
20801,UMIN000031247,UMIN000031247,,,
20833,UMIN000031686,UMIN000031686,,,
20874,UMIN000031718,UMIN000031718,,,
20916,UMIN000031501,UMIN000031501,,,
20930,UMIN000031523,UMIN000031523,,,
20943,UMIN000031592,UMIN000031592,,,
20961,UMIN000031584,UMIN000031584,,,
20981,UMIN000031566,UMIN000031566,,,
21012,UMIN000030978,UMIN000030978,,,
21013,UMIN000030780,UMIN000030780,,,
21021,UMIN000031405,UMIN000031405,,,
